time,12-19,20-29,30-39,40-49,50-59,60-69,70-79,80 and above
2021-02-28,,,,,,,,
2021-03-07,,,,,,,,
2021-03-14,0.08890374331550803,0.42376653888957583,0.5782651158661102,0.7620131291028447,0.660364503491739,0.19611867885799628,-0.37430865298840343,-0.35291189646590326
2021-03-21,0.178030303030303,0.5019166563620624,1.7821184409127235,2.051903719912472,1.753619485607222,-0.15245381601044938,-0.16895628902765347,-0.0948232951717276
2021-03-28,-0.1900623885918003,-0.5202176332385307,-1.1584835301429464,-1.4717724288840253,-1.2985862715040035,-1.5536480686695295,-1.0888492417484388,-0.32553509208561415
2021-04-04,-0.08689839572192526,-0.3009768764684062,-0.9208914143656215,-1.25855579868709,-1.0660875489695094,-0.9627729053927947,-0.6028545941123999,-0.1749626679940275
2021-04-11,0.2361853832442069,0.4879436132063808,1.7249400692533072,1.852253829321663,1.1182933060807345,0.4284381414442979,0.2592328278322924,0.07864609258337518
2021-04-18,0.014483065953654117,0.3932236923457393,0.8944330995294312,0.954923413566739,0.6811446090955542,0.5880761336070162,0.35468331846565615,0.09482329517172738
2021-04-25,-0.011363636363636354,0.08235439594410865,-0.4619550741365508,-0.5599999999999987,-0.3670584227559175,-0.18249673446538672,-0.13595004460303173,-0.04206072672971661
2021-05-02,0.44852941176470584,1.8098182267837277,-0.7305336056112974,-0.8327352297593009,-0.5789473684210549,-0.339522298936366,-0.26458519179304396,-0.07491289198606266
2021-05-09,-0.19251336898395688,-0.7278347965871168,0.6935985083903091,0.5439824945295406,0.18122977346278546,0.04161224108975503,-0.0024977698483485966,0.0032354405176704404
2021-05-16,0.13480392156862697,-0.36552491653270636,-0.6299387374589394,-0.630547045951861,-0.37012433997615446,-0.1442433289792895,-0.05263157894736992,-0.017670482827277123
2021-05-23,0.13213012477718333,-0.1635958946457272,-0.3386309153866627,-0.29391684901531434,-0.09342531084994121,-0.03396155999253381,-0.017305976806420986,-0.0012444001991038789
2021-05-30,0.028966131907309123,0.20811178434524358,0.16825002219657037,0.3260393873085299,0.47198092318173934,0.31871617839149025,0.18893844781445068,0.04106520657043289
2021-06-06,0.3239750445632801,0.8847533077779186,1.056112936162659,1.3081838074398284,1.3052290921478473,0.9514834857249497,0.49420160570918803,0.11796913887506166
2021-06-13,0.13524955436720099,0.3750463707184366,0.6552428305069711,0.8901531728665155,0.9885028104241158,0.6041239037133792,0.2991971454058877,0.06769537083125998
2021-06-20,1.5980392156862742,-0.0617039693335002,-0.2918405398206545,-0.44989059080962335,-0.41670924885027816,-0.1406978913976502,0.06779661016949134,0.023394723743155765
2021-06-27,0.38458110516933974,0.13577346358352926,0.027434964041550103,-0.024245076586431935,0.1513370805654901,0.2191640231386458,0.08492417484388959,0.03061224489795933
2021-07-04,1.0568181818181834,0.520464943736858,0.22303116398828138,-0.0072647702407024894,0.007494464316131655,-0.056540399328234514,-0.11561106155218503,-0.0004977600796420845
2021-07-11,0.32620320855614793,0.08482750092742108,-0.14090384444641302,-0.2290590809627986,-0.1239141543178306,0.2670274304907636,0.2991971454058877,0.05002488800398197
2021-07-18,0.8578431372549034,0.1456658835167559,0.05043061351327083,-0.033960612691466,-0.11369443025039061,-0.03424146295949981,0.02765388046386974,0.039571926331508855
2021-07-25,-0.5496880570409992,0.006059107209097192,-0.09491254550297867,-0.2122538293216678,-0.2487651166751732,-0.08816943459601845,-0.03960749330954272,-0.009955201592832807
2021-08-01,-0.4159982174688004,0.20712254235191807,0.17579685696529168,-0.0016630196936517905,0.046499744506888874,0.043291658891590146,0.8144513826940205,0.3643603782976612
2021-08-08,-0.11987522281640395,0.3793743044392315,0.25117641836099835,0.04814004376368075,0.02674161130983066,0.3374696771785821,0.5398751115075839,0.26132404181184654
2021-08-15,0.6450534759358248,0.24038580437739654,-0.16327798987835962,-0.2956673960612761,-0.3385283597342834,0.4070722149654742,-0.553791257805532,-0.08362369337979114
2021-08-22,0.35628342245989586,-0.5425992333374623,-0.5467459824203047,-0.5620131291028372,-0.6102026911940115,-0.715338682590037,-0.5466547725245299,-0.12220009955201583
2021-08-29,-0.50089126559714,-0.87139854086805,-0.5771108940779683,-0.43781181619257836,-0.3983989098960876,-0.5653106922933375,-0.2824264049955403,-0.01518168242906981
2021-09-05,-0.5777629233511661,-0.5869914677878185,-0.3239811773062229,-0.20954048140042403,-0.23871572134220287,-0.28008956894942827,-0.0369313113291696,0.07068193130910849
2021-09-12,-1.7562388591800442,-1.2614071967355045,-0.8592737281363725,-0.7650765864332527,-0.6822517458695216,-0.557939914163093,-0.294558429973236,-0.17794922847187422
2021-09-19,-0.8672014260249412,-0.5788302213428835,-0.43647340850571936,-0.4165426695842598,-0.4257366717765336,-0.430210860235114,-0.3891168599464834,-0.1704828272772545
2021-09-26,-0.24064171122995504,-0.2844070730802599,-0.208470212199245,-0.17557986870896514,-0.1692215976835314,-0.18128382160851686,-0.09759143621765531,-0.0759084121453455
2021-10-03,-0.004010695187162128,-0.09966613082724507,-0.0707626742430989,-0.06678336980306199,-0.05390904445579281,0.014275051315550513,0.014094558429967208,0.04131408661025482
2021-10-10,-0.8649732620320805,-0.30208977371090384,-0.3079108585634316,-0.29496717724288146,-0.30063021631748654,-0.27980966598246226,-0.2010704727921464,-0.12667994026879192
2021-10-17,0.14639037433154556,-0.003956967973280712,-0.00923377430525818,-0.03098468271336685,-0.07009027422927261,-0.08919574547490328,-0.08242640499554454,-0.06869089099054193
2021-10-24,-0.0846702317290493,-0.00741931494992798,0.010299209802028031,0.020656455142244567,0.06199965934253271,0.07809292778503618,0.1388046387154418,0.1503235440517674
2021-10-31,-0.08801247771836529,-0.025472981328050537,-0.012518867086939167,-0.011028446389488522,-0.005365355135410255,0.00494495241650128,-0.04174843889385471,-0.050522648083624944
2021-11-07,0.024509803921560547,0.02510201558055769,0.027523750332946406,0.019080962800856582,-0.0018736160790382428,-0.01828699384214616,-0.026048171275640186,-0.05500248880039571
2021-11-14,-0.023395721925126622,0.030790157042162036,0.0455473674864777,0.026433260393886826,0.015159257366732959,-0.030136219443917867,-0.08135593220338677,-0.057242409158785534
2021-11-21,-0.0026737967914414185,0.08359094843576997,0.07440291219033668,0.04341356673960206,0.04479645716230607,0.04525097966038061,0.06601248884923194,0.05848680935788764
2021-11-28,0.05124777183600315,0.13206380610856172,0.09802006570187416,0.0729978118161938,0.06506557656277323,0.05952603097593112,0.048528099910797096,0.05550024888004046
2021-12-05,0.35762032085561657,-0.16495610238654024,-0.12083814259079872,-0.070196936542672,-0.014563106796117609,0.10291099085650046,0.3068688670829687,0.3442010950721759
2021-12-12,-0.23618538324420513,-0.09076295288735992,-0.1017490899405118,-0.08691466083151056,-0.10253789814341019,-0.17839149094980655,-0.2820695807314948,-0.14559482329517337
2021-12-19,0.13034759358288284,-0.004451588969942577,-0.03711266980377559,-0.04131291028446071,-0.07996934082780172,-0.14452323194625194,-0.2203389830508513,-0.24539571926331405
2021-12-26,0.06885026737968758,-0.03895140348707571,-0.048122169936959835,-0.03851203501095313,-0.016862544711301553,-0.03778690054114975,-0.08046387154325885,-0.06122448979591866
2022-01-02,-0.050356506238856014,0.16223568690490708,0.25561573293083484,0.19947483588623527,0.17441662408448622,0.20964732226161686,0.23532560214093934,0.11423593827775136
2022-01-09,0.10940285204989664,0.7217756893780063,0.9393589629761152,0.9221006564551288,1.0671946857435017,1.879921627169253,2.7966101694915295,2.615729218516673
2022-01-16,0.5024509803921688,0.024731049833064844,0.028145254372716977,0.014179431072207649,-0.0439448134900573,-0.08359768613547658,-0.18126672613737327,-0.057491289198605244
2022-01-23,0.7555704099821554,-0.008532212192392308,-0.03125277457159825,-0.03999999999999204,-0.10083461079882738,-0.35529016607576125,-0.6247992863514753,-0.5798904927824822
